Date,Open,High,Low,Close,Adj Close,Volume
1992-03-01,8.692939,8.782097,8.470043,8.782097,2.515402,21484528
1992-04-01,8.737518,9.361626,8.692939,9.361626,2.681393,26083369
1992-05-01,9.317047,9.450785,9.004993,9.094151,2.604781,20065424
1992-06-01,9.094151,9.495364,8.960414,9.406205,2.727773,18228804
1992-07-01,9.406205,9.539943,9.004993,9.272468,2.688990,35980648
1992-08-01,9.272468,9.406205,9.004993,9.183310,2.663133,26383957
1992-09-01,9.183310,9.495364,8.915835,9.406205,2.762303,20925690
1992-10-01,9.361626,9.406205,9.094151,9.406205,2.762303,15161788
1992-11-01,9.406205,9.539943,9.094151,9.272468,2.723028,23598464
1992-12-01,9.272468,9.539943,9.004993,9.317047,2.773095,30510042
1993-01-01,9.361626,9.896576,9.094151,9.896576,2.945583,19755581
1993-02-01,9.851997,10.832739,9.851997,10.520685,3.131340,30067293
1993-03-01,10.476106,10.743581,10.253210,10.699001,3.223660,25344516
1993-04-01,10.654422,11.100214,10.386947,10.609843,3.196794,17858114
1993-05-01,10.565264,10.743581,9.896576,10.609843,3.196794,24739692
1993-06-01,10.609843,10.966476,10.386947,10.921897,3.331374,14415646
1993-07-01,10.966476,11.412268,10.832739,11.233951,3.426556,16246656
1993-08-01,11.233951,11.724322,11.189372,11.635164,3.548935,22088790
1993-09-01,11.635164,11.947218,11.233951,11.679743,3.601467,25647346
1993-10-01,11.635164,11.724322,10.966476,11.144793,3.436512,20071874
1993-11-01,11.144793,11.189372,9.762839,10.030314,3.092861,31429194
1993-12-01,9.941155,11.055635,9.896576,10.788160,3.366834,21068413
1994-01-01,10.699001,10.699001,9.495364,10.297789,3.213795,26077760
1994-02-01,10.297789,10.297789,9.049572,9.584522,2.991195,26737541
1994-03-01,9.584522,10.119472,9.317047,9.896576,3.132877,31017566
1994-04-01,9.896576,10.476106,9.584522,10.208631,3.231663,22843627
1994-05-01,10.164051,10.164051,9.138730,9.718260,3.076432,28760346
1994-06-01,9.762839,10.253210,9.049572,9.361626,3.005838,22800726
1994-07-01,9.450785,9.584522,8.915835,9.317047,2.991524,19462284
1994-08-01,9.272468,10.074893,9.272468,9.718260,3.120347,30796051
1994-09-01,9.673680,9.718260,8.425464,9.049572,2.945802,23686231
